,sensitive_attr,address,sex,G3,failures,studytime,absences,Dalc,Medu,GroundTruth,GroundTruth_DB,FairDen,Scalable,FairSC_normalized,FairSC
0,2,1,0,0,0,2,4,1,4,0,0,0,1,1,1
1,2,1,0,0,0,2,2,1,1,0,0,0,1,1,1
2,2,1,0,1,0,2,6,2,1,1,0,0,0,1,1
3,2,1,0,2,0,3,0,1,4,2,0,0,1,1,1
4,2,1,0,3,0,2,0,1,3,3,0,0,1,1,1
5,3,1,1,3,0,2,6,1,4,3,0,0,1,1,0
6,3,1,1,3,0,2,0,1,2,3,0,0,1,1,0
7,2,1,0,3,0,2,2,1,4,3,0,0,1,1,1
8,3,1,1,4,0,2,0,1,3,4,0,0,1,1,0
9,2,1,0,3,0,3,0,1,2,3,0,0,1,1,1
10,3,1,1,1,0,1,0,1,4,1,0,0,1,1,0
11,3,1,1,3,0,2,0,1,4,3,0,0,1,1,0
12,3,1,1,5,0,3,0,1,2,5,0,0,1,1,0
13,2,1,0,4,0,1,6,1,4,4,0,0,1,1,1
14,2,1,0,2,0,3,10,1,4,2,0,0,1,1,1
15,2,1,0,2,0,2,2,1,3,2,0,0,1,1,1
16,3,1,1,6,3,1,2,2,3,6,1,1,0,0,0
17,3,1,1,1,0,1,6,1,4,1,0,0,1,1,0
18,3,1,1,7,0,2,2,2,2,7,0,0,0,1,0
19,0,0,0,7,0,3,2,1,2,7,0,0,1,1,0
20,2,1,0,1,0,1,6,1,2,1,0,0,1,1,1
21,3,1,1,1,0,1,8,1,2,1,0,0,1,1,0
22,3,1,1,0,0,1,0,2,4,0,0,0,0,1,0
23,3,1,1,3,0,2,2,1,3,3,0,0,1,1,0
24,3,1,1,1,0,2,4,5,4,1,0,1,0,1,0
25,3,1,1,0,0,2,0,3,4,0,0,0,0,1,0
26,3,1,1,5,0,2,2,1,4,5,0,0,1,1,0
27,1,0,1,5,0,2,0,1,4,5,0,0,1,1,1
28,3,1,1,1,0,1,4,1,3,1,0,0,1,1,0
29,2,1,0,0,0,1,4,1,2,0,0,0,1,1,1
30,3,1,1,2,0,3,0,1,4,2,0,0,1,1,0
31,1,0,1,3,0,3,4,1,4,3,0,0,1,1,1
32,0,0,0,1,0,3,2,1,3,1,0,0,1,1,0
33,0,0,0,1,0,1,8,1,2,1,0,0,1,1,0
34,2,1,0,7,0,2,16,1,2,7,0,1,1,0,1
35,3,1,1,0,0,1,8,2,4,0,0,0,0,1,0
36,3,1,1,7,0,1,0,1,2,7,0,0,1,1,0
37,2,1,0,0,1,2,14,2,2,0,0,1,0,0,1
38,2,1,0,3,0,2,6,1,3,3,0,0,1,1,1
39,3,1,1,4,0,4,2,1,4,4,0,0,1,1,0
40,3,1,1,3,0,2,4,2,4,3,0,0,0,1,0
41,2,1,0,3,0,2,0,2,2,3,0,0,0,1,1
42,2,1,0,8,0,2,0,1,4,8,0,0,1,1,1
43,3,1,1,9,0,1,4,3,4,9,0,0,0,0,0
44,2,1,0,1,0,1,0,2,4,1,0,0,0,1,1
45,2,1,0,3,0,1,0,4,3,3,0,1,0,1,1
46,2,1,0,1,0,2,2,1,2,1,0,0,1,1,1
47,3,1,1,8,0,2,8,1,4,8,0,0,1,1,0
48,3,1,1,2,0,2,0,1,1,2,0,0,1,1,0
49,0,0,0,8,0,2,0,2,4,8,0,0,0,1,0
50,2,1,0,8,0,1,0,5,1,8,0,1,0,1,1
51,2,1,0,7,0,2,0,1,1,7,0,0,1,0,1
52,2,1,0,3,0,3,0,2,4,3,0,0,0,1,1
53,2,1,0,1,0,2,0,2,4,1,0,0,0,1,1
54,3,1,1,1,0,4,0,5,4,1,-1,1,0,1,0
55,2,1,0,7,0,4,0,1,3,7,0,0,1,1,1
56,0,0,0,0,0,2,0,1,2,0,0,0,1,1,0
57,0,0,0,5,0,4,6,2,3,5,0,0,0,1,0
58,3,1,1,0,0,4,2,1,3,0,0,0,1,1,0
59,3,1,1,7,0,4,0,1,4,7,0,0,1,1,0
60,0,0,0,0,0,2,2,2,1,0,0,0,0,1,0
61,3,1,1,2,0,1,0,2,3,2,0,0,0,1,0
62,2,1,0,0,0,2,4,2,3,0,0,0,0,1,1
63,3,1,1,0,0,2,0,2,4,0,0,0,0,1,0
64,2,1,0,3,0,4,1,1,2,3,0,0,1,1,1
65,3,1,1,7,3,1,0,1,2,7,1,1,1,0,0
66,2,1,0,0,0,2,14,1,3,0,0,0,1,1,1
67,3,1,1,9,0,3,2,1,2,9,0,0,1,1,0
68,2,1,0,0,0,2,4,1,3,0,0,0,1,1,1
69,3,1,1,3,0,2,2,1,2,3,0,0,1,1,0
70,2,1,0,1,0,2,2,2,1,1,0,0,0,1,1
71,2,1,0,1,0,2,4,2,4,1,0,0,0,1,1
72,2,1,0,0,0,2,6,1,2,0,0,0,1,1,1
73,2,1,0,5,0,3,4,1,4,5,0,0,1,1,1
74,3,1,1,0,0,2,6,1,2,0,0,0,1,1,0
75,3,1,1,7,0,2,6,3,4,7,0,0,0,1,0
76,2,1,0,0,0,3,2,1,3,0,0,0,1,1,1
77,2,1,0,1,0,2,0,2,3,1,0,0,0,1,1
78,3,1,1,1,0,4,2,1,2,1,0,0,1,1,0
79,0,0,0,3,0,4,4,1,1,3,0,0,1,1,0
80,1,0,1,0,0,1,6,1,4,0,0,0,1,1,1
81,2,1,0,1,0,2,0,1,2,1,0,0,1,1,1
82,2,1,0,3,0,1,4,1,4,3,0,0,1,1,1
83,2,1,0,3,0,3,2,1,4,3,0,0,1,1,1
84,3,1,1,10,0,1,12,5,4,10,0,1,0,0,0
85,3,1,1,1,0,1,2,1,4,1,0,0,1,1,0
86,2,1,0,7,0,2,16,1,3,7,0,0,1,0,1
87,2,1,0,7,0,4,10,1,3,7,0,1,1,1,1
88,2,1,0,7,0,4,4,1,2,7,0,0,1,1,1
89,3,1,1,2,0,3,4,1,3,2,0,0,1,1,0
90,1,0,1,0,0,4,8,3,4,0,0,1,0,1,1
91,3,1,1,2,0,1,4,1,4,2,0,0,1,1,0
92,0,0,0,0,0,3,4,1,3,0,0,0,1,1,0
93,2,1,0,7,1,2,12,1,2,7,0,1,1,0,1
94,3,1,1,11,0,1,10,1,4,11,0,0,1,1,0
95,1,0,1,7,0,2,4,1,2,7,0,0,1,1,1
96,3,1,1,8,0,2,4,1,4,8,0,0,1,1,0
97,3,1,1,5,0,1,6,1,3,5,0,0,1,1,0
98,1,0,1,0,1,2,14,1,1,0,0,1,1,1,1
99,3,1,1,2,0,1,2,1,3,2,0,0,1,1,0
100,3,1,1,3,0,4,6,1,2,3,0,0,1,1,0
101,3,1,1,9,0,1,2,3,3,9,0,0,0,0,0
102,2,1,0,0,2,2,0,1,0,0,0,1,1,0,1
103,1,0,1,5,0,1,8,2,4,5,0,0,0,1,1
104,3,1,1,3,0,3,4,2,2,3,0,0,0,1,0
105,0,0,0,1,0,3,0,2,3,1,0,0,0,1,0
106,2,1,0,10,3,2,10,1,2,10,-1,1,1,0,1
107,2,1,0,0,0,1,8,1,2,0,0,0,1,1,1
108,2,1,0,3,0,1,6,1,1,3,0,0,1,1,1
109,2,1,0,1,0,1,2,1,2,1,0,0,1,1,1
110,2,1,0,2,0,1,12,1,3,2,0,0,1,1,1
111,3,1,1,0,0,1,4,1,2,0,0,0,1,1,0
112,2,1,0,0,1,1,12,1,2,0,0,1,1,0,1
113,1,0,1,0,0,2,2,1,3,0,0,0,1,1,1
114,1,0,1,7,0,2,2,2,3,7,0,0,0,1,1
115,0,0,0,3,0,2,0,1,1,3,0,0,1,1,0
116,3,1,1,1,0,1,2,4,3,1,0,1,0,1,0
117,2,1,0,0,0,3,10,5,3,0,-1,1,0,1,1
118,0,0,0,0,0,1,8,1,1,0,0,0,1,1,0
119,2,1,0,7,0,1,4,1,3,7,0,0,1,1,1
120,3,1,1,7,2,2,0,1,1,7,0,1,1,0,0
121,0,0,0,9,1,1,2,1,1,9,0,1,1,0,0
122,3,1,1,0,0,4,6,1,4,0,0,0,1,1,0
123,2,1,0,9,0,2,24,2,3,9,-1,1,0,0,1
124,3,1,1,0,0,1,4,2,2,0,0,0,0,1,0
125,2,1,0,0,0,1,4,3,1,0,0,0,0,1,1
126,3,1,1,12,0,1,22,1,2,12,0,1,1,0,0
127,2,1,0,7,0,1,0,1,2,7,0,0,1,0,1
128,2,1,0,0,1,2,2,1,3,0,0,1,1,1,1
129,2,1,0,3,0,2,6,1,1,3,0,0,1,1,1
130,3,1,1,10,0,1,16,2,4,10,0,1,0,0,0
131,3,1,1,0,0,1,0,2,2,0,0,0,0,1,0
132,3,1,1,13,2,1,0,2,1,13,0,1,0,0,0
133,3,1,1,7,1,1,6,3,2,7,0,1,0,0,0
134,0,0,0,3,0,3,2,2,3,3,0,0,0,1,0
135,2,1,0,3,0,1,0,1,4,3,0,0,1,1,1
136,1,0,1,10,0,2,0,1,2,10,0,0,1,1,1
137,1,0,1,7,3,1,14,3,1,7,-1,1,0,0,1
138,0,0,0,0,3,1,6,1,1,0,1,1,1,0,0
139,1,0,1,0,0,1,4,1,2,0,0,0,1,1,1
140,3,1,1,14,1,2,0,4,3,-1,-1,1,0,0,0
141,3,1,1,7,2,1,0,3,1,7,0,1,0,0,0
142,1,0,1,9,1,1,8,2,2,9,0,1,0,0,1
143,1,0,1,10,2,2,4,1,3,10,0,1,1,0,1
144,3,1,1,7,0,1,2,2,1,7,0,0,0,0,0
145,3,1,1,10,1,1,2,1,1,10,0,1,1,0,0
146,1,0,1,10,0,2,0,1,1,10,0,0,1,1,1
147,3,1,1,10,3,1,10,1,3,10,1,1,1,0,1
148,3,1,1,0,0,2,0,2,2,0,0,0,0,1,0
149,3,1,1,7,1,1,4,2,3,7,0,1,0,0,0
150,3,1,1,0,0,2,0,4,4,0,0,1,0,1,0
151,3,1,1,7,0,2,4,1,3,7,0,0,1,1,0
152,1,0,1,0,0,1,8,3,4,0,0,0,0,1,1
153,2,1,0,2,0,2,32,2,3,2,-1,1,0,0,1
154,2,1,0,8,0,2,8,1,3,8,0,0,1,1,1
155,3,1,1,2,0,2,6,2,3,2,0,0,0,1,0
156,3,1,1,0,0,1,0,1,1,0,0,0,1,1,0
157,2,1,0,2,0,2,10,1,3,2,0,0,1,1,1
158,1,0,1,7,0,2,6,1,1,7,0,0,1,1,1
159,3,1,1,1,0,2,16,4,1,1,0,1,0,1,0
160,1,0,1,7,0,1,0,3,3,7,0,0,0,1,1
161,2,1,0,8,0,2,8,1,2,8,0,0,1,0,1
162,1,0,1,1,0,1,16,3,3,1,0,1,0,1,1
163,2,1,0,8,1,1,30,2,4,8,-1,1,0,0,1
164,2,1,0,1,0,2,4,1,2,1,0,0,1,1,1
165,0,0,0,3,0,1,21,1,2,3,0,1,1,1,0
166,0,0,0,3,0,4,6,1,2,3,0,0,1,1,0
167,2,1,0,10,1,3,14,3,3,10,-1,1,0,0,1
168,2,1,0,1,0,2,2,2,3,1,0,0,0,1,1
169,2,1,0,3,0,1,2,1,1,3,0,0,1,1,1
170,0,0,0,1,0,3,0,1,4,1,0,0,1,1,0
171,2,1,0,1,0,4,4,1,3,1,0,0,1,1,1
172,3,1,1,1,0,2,15,4,4,1,0,1,0,1,0
173,3,1,1,0,0,2,10,2,2,0,0,0,0,1,0
174,0,0,0,0,0,1,6,1,4,0,0,0,1,1,0
175,2,1,0,7,0,2,16,2,4,7,0,1,0,0,1
176,3,1,1,7,0,2,10,2,3,7,0,0,0,1,0
177,2,1,0,1,0,3,12,1,1,1,0,1,1,1,1
178,3,1,1,7,3,2,9,5,2,7,-1,1,0,0,1
179,0,0,0,10,0,2,4,1,3,10,0,0,1,1,0
180,3,1,1,0,0,2,2,4,2,0,0,1,0,1,0
181,3,1,1,9,0,2,2,1,1,9,0,0,1,1,0
182,3,1,1,1,0,3,0,1,3,1,0,0,1,1,0
183,3,1,1,8,0,2,0,5,2,8,0,1,0,1,0
184,2,1,0,7,1,2,18,1,2,7,0,1,1,0,1
185,2,1,0,7,1,2,16,1,2,7,0,1,1,0,1
186,2,1,0,6,1,1,14,1,3,6,0,1,1,0,1
187,3,1,1,10,1,1,26,2,2,10,-1,1,0,0,1
188,2,1,0,7,0,3,10,1,1,7,0,0,1,1,1
189,2,1,0,0,0,1,4,1,1,0,0,0,1,1,1
190,0,0,0,3,0,2,2,1,2,3,0,0,1,1,0
191,0,0,0,10,1,1,14,1,1,10,0,1,1,1,0
192,3,1,1,10,0,2,16,3,2,10,0,1,0,0,0
193,2,1,0,7,1,1,8,1,2,7,0,1,1,0,1
194,0,0,0,5,0,3,4,1,1,5,0,0,1,1,0
195,1,0,1,1,0,2,0,2,4,1,0,0,0,1,1
196,3,1,1,5,0,1,7,1,4,5,0,0,1,1,0
197,1,0,1,5,0,3,2,1,1,5,0,0,1,1,1
198,2,1,0,0,0,3,10,2,3,0,0,0,0,1,1
199,2,1,0,7,0,2,10,1,1,7,0,0,1,0,1
200,2,1,0,0,0,3,10,1,2,0,0,0,1,1,1
201,3,1,1,8,0,1,7,1,2,8,0,0,1,0,0
202,2,1,0,0,0,2,4,1,1,0,0,0,1,1,1
203,3,1,1,3,0,1,2,1,2,3,0,0,1,1,0
204,3,1,1,15,3,1,12,5,3,-1,-1,-1,0,0,0
205,1,0,1,7,0,2,8,1,3,7,0,0,1,1,1
206,3,1,1,0,0,1,0,2,0,0,0,0,0,1,0
207,3,1,1,6,0,1,8,2,3,6,0,0,0,1,0
208,3,1,1,7,1,2,4,1,3,7,0,1,1,0,0
209,3,1,1,12,2,1,4,2,2,12,0,1,0,0,0
210,1,0,1,1,0,1,2,1,2,1,0,0,1,1,1
211,1,0,1,3,0,1,0,2,2,3,0,0,0,1,1
212,3,1,1,7,1,1,0,1,1,7,0,1,1,0,0
213,2,1,0,4,0,4,2,1,4,4,0,0,1,1,1
214,3,1,1,0,1,2,4,4,2,0,-1,1,0,1,0
215,0,0,0,2,0,3,2,1,4,2,0,0,1,1,0
216,2,1,0,2,0,3,4,2,1,2,0,0,0,1,1
217,0,0,0,3,0,2,4,1,2,3,0,0,1,1,0
218,1,0,1,7,0,1,0,1,2,7,0,0,1,1,1
219,2,1,0,1,0,4,2,1,2,1,0,0,1,1,1
220,0,0,0,1,0,2,8,1,2,1,0,0,1,1,0
221,1,0,1,1,0,3,2,1,3,1,0,0,1,1,1
222,3,1,1,9,0,1,8,2,2,9,0,0,0,0,0
223,1,0,1,8,0,2,6,3,3,8,0,0,0,1,1
224,3,1,1,2,0,2,0,3,3,2,0,0,0,1,0
225,0,0,0,1,0,2,8,2,4,1,0,0,0,1,0
226,0,0,0,7,0,2,12,1,2,7,0,0,1,1,0
227,2,1,0,1,0,2,16,3,3,1,0,1,0,1,1
228,2,1,0,8,0,4,10,1,2,8,0,1,1,1,1
229,1,0,1,11,0,2,2,2,1,11,0,0,0,1,1
230,2,1,0,1,0,2,6,2,2,1,0,0,0,1,1
231,0,0,0,7,0,2,15,1,3,7,0,0,1,1,0
232,2,1,0,3,1,2,2,1,4,3,0,1,1,1,1
233,2,1,0,5,0,3,8,1,2,5,0,0,1,1,1
234,0,0,0,7,1,2,0,4,3,7,-1,1,0,1,0
235,3,1,1,0,0,1,10,2,1,0,0,0,0,1,0
236,3,1,1,7,0,1,22,2,4,7,0,1,0,0,0
237,3,1,1,3,0,1,18,3,3,3,0,1,0,1,0
238,0,0,0,11,0,4,2,1,1,11,0,0,1,1,0
239,2,1,0,2,0,2,12,1,2,2,0,0,1,1,1
240,2,1,0,2,0,2,10,1,2,2,0,0,1,1,1
241,2,1,0,2,0,3,0,1,1,2,0,0,1,1,1
242,0,0,0,16,0,4,0,1,3,-1,0,0,1,1,0
243,1,0,1,5,0,3,0,1,3,5,0,0,1,1,1
244,3,1,1,5,0,1,0,1,3,5,0,0,1,1,0
245,2,1,0,3,0,2,2,2,4,3,0,0,0,1,1
246,2,1,0,4,0,4,0,1,4,4,0,0,1,1,1
247,1,0,1,0,1,3,0,1,2,0,0,1,1,1,1
248,3,1,1,5,2,1,0,1,3,5,0,1,1,0,0
249,1,0,1,0,0,2,0,1,3,0,0,0,1,1,1
250,0,0,0,4,0,1,2,1,4,4,0,0,1,1,0
251,2,1,0,5,0,1,8,1,4,5,0,0,1,1,1
252,3,1,1,7,0,2,9,1,4,7,0,0,1,1,0
253,2,1,0,3,0,2,0,3,4,3,0,0,0,1,1
254,2,1,0,4,0,1,2,1,4,4,0,0,1,1,1
255,2,1,0,4,0,2,14,1,4,4,0,0,1,1,1
256,2,1,0,2,0,2,2,2,2,2,0,0,0,1,1
257,3,1,1,0,0,1,2,3,4,0,0,0,0,1,0
258,2,1,0,0,0,3,12,4,1,0,-1,1,0,1,1
259,2,1,0,9,2,2,2,1,1,9,0,1,1,0,1
260,2,1,0,7,0,1,2,2,2,7,0,0,0,0,1
261,0,0,0,7,0,3,0,2,2,7,0,0,0,1,0
262,2,1,0,4,0,3,0,2,3,4,0,0,0,1,1
263,2,1,0,5,0,3,0,2,0,5,0,1,0,1,1
264,3,1,1,3,0,3,0,2,4,3,0,0,0,1,0
265,3,1,1,4,0,1,0,3,3,4,0,0,0,1,0
266,1,0,1,7,0,1,2,5,2,7,0,1,0,1,1
267,2,1,0,0,0,1,2,2,3,0,0,0,0,1,1
268,3,1,1,1,0,4,0,2,2,1,0,0,0,1,0
269,1,0,1,7,0,1,0,2,3,7,0,0,0,1,1
270,0,0,0,5,0,3,0,1,2,5,0,0,1,1,0
271,3,1,1,5,0,1,6,1,2,5,0,0,1,1,0
272,2,1,0,2,0,3,8,1,3,2,0,0,1,1,1
273,0,0,0,8,0,2,0,2,3,8,0,0,0,1,0
274,3,1,1,4,0,2,6,1,3,4,0,0,1,1,0
275,2,1,0,2,0,2,18,1,2,2,0,1,1,0,1
276,2,1,0,4,0,3,4,2,3,4,0,0,0,1,1
277,2,1,0,5,0,2,10,2,2,5,0,0,0,0,1
278,2,1,0,8,0,2,4,2,2,8,0,0,0,0,1
279,2,1,0,0,1,1,16,3,2,0,-1,1,0,1,1
280,2,1,0,3,1,1,6,1,3,3,0,1,1,1,1
281,2,1,0,1,2,3,0,1,4,1,0,1,1,1,1
282,3,1,1,1,0,2,11,1,2,1,0,0,1,1,0
283,3,1,1,5,0,2,9,1,3,5,0,0,1,1,0
284,3,1,1,5,0,3,2,1,4,5,0,0,1,1,0
285,1,0,1,7,2,2,21,5,1,7,-1,0,0,0,1
286,0,0,0,5,0,3,8,1,1,5,0,0,1,1,0
287,2,1,0,0,1,1,5,4,4,0,-1,1,0,1,1
288,3,1,1,11,0,2,10,1,3,11,0,0,1,1,0
289,2,1,0,4,0,3,5,1,3,4,0,0,1,1,1
290,1,0,1,2,0,1,13,4,2,2,0,1,0,1,1
291,3,1,1,0,0,1,10,1,2,0,0,0,1,1,0
292,2,1,0,7,1,1,5,1,1,7,0,1,1,0,1
293,2,1,0,0,0,1,11,1,1,0,0,0,1,1,1
294,0,0,0,7,1,1,6,1,1,7,0,1,1,0,0
295,0,0,0,0,0,1,4,2,3,0,0,0,0,1,0
296,0,0,0,9,0,1,0,1,2,9,0,0,1,1,0
297,1,0,1,0,0,2,5,1,4,0,0,0,1,1,1
298,3,1,1,0,0,3,0,1,1,0,0,0,1,1,0
299,0,0,0,7,1,2,0,1,3,7,0,1,1,1,0
300,0,0,0,6,1,1,0,2,1,6,0,1,0,0,0
301,0,0,0,2,0,1,0,3,4,2,0,0,0,1,0
302,0,0,0,10,1,1,4,1,1,10,0,1,1,0,0
303,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
304,0,0,0,1,0,1,2,1,2,1,0,0,1,1,0
305,0,0,0,8,0,1,0,1,3,8,0,0,1,1,0
306,3,1,1,13,0,2,0,4,1,13,0,1,0,0,0
307,3,1,1,9,0,2,4,2,1,9,0,0,0,1,0
308,1,0,1,10,0,2,7,1,4,10,0,0,1,1,1
309,1,0,1,0,0,2,4,1,3,0,0,0,1,1,1
310,1,0,1,9,0,2,8,2,1,9,0,0,0,1,1
311,1,0,1,9,0,1,8,5,2,9,0,1,0,1,1
312,0,0,0,4,0,3,6,1,4,4,0,0,1,1,0
313,0,0,0,3,0,1,3,1,1,3,0,0,1,1,0
314,2,1,0,10,1,3,0,1,1,10,0,1,1,0,1
315,2,1,0,10,1,3,3,1,1,10,0,1,1,0,1
316,2,1,0,9,0,2,0,3,2,9,0,0,0,1,1
317,2,1,0,5,0,2,0,2,1,5,0,0,0,1,1
318,1,0,1,0,0,1,4,5,1,0,0,1,0,1,1
319,0,0,0,3,0,4,0,1,1,3,0,0,1,1,0
320,0,0,0,7,0,3,2,1,1,7,0,0,1,1,0
321,0,0,0,0,0,2,1,1,1,0,0,0,1,1,0
322,0,0,0,2,0,1,0,4,1,2,0,1,0,1,1
323,0,0,0,1,0,3,2,2,2,1,0,0,0,1,0
324,1,0,1,0,0,1,6,3,1,0,0,0,0,1,1
325,2,1,0,10,1,2,9,2,1,10,0,1,0,0,1
326,0,0,0,2,0,2,1,1,2,2,0,0,1,1,0
327,3,1,1,3,0,1,1,1,2,3,0,0,1,1,0
328,0,0,0,1,1,2,2,2,2,1,0,1,0,1,0
329,1,0,1,0,0,1,2,3,1,0,0,0,0,1,1
330,3,1,1,0,0,1,11,2,3,0,0,0,0,1,0
331,0,0,0,10,3,2,0,1,1,10,0,1,1,0,0
332,2,1,0,7,1,1,0,1,2,7,0,1,1,0,1
333,0,0,0,9,0,1,0,1,1,9,0,0,1,0,0
334,2,1,0,7,1,1,1,1,2,7,0,1,1,0,1
335,0,0,0,7,2,3,6,1,3,7,0,1,1,0,0
336,2,1,0,9,1,3,6,1,1,9,0,1,1,0,1
337,1,0,1,7,1,1,0,3,1,7,0,1,0,1,1
338,2,1,0,9,1,2,12,4,1,9,0,1,0,0,1
339,2,1,0,7,0,1,5,3,0,7,0,1,0,0,1
340,2,1,0,3,0,1,0,1,3,3,0,0,1,1,1
341,0,0,0,2,0,1,2,2,1,2,0,0,0,1,0
342,3,1,1,7,1,4,0,3,3,7,-1,1,0,1,0
343,3,1,1,6,1,1,12,5,1,6,-1,1,0,0,0
344,3,1,1,3,0,1,8,1,4,3,0,0,1,1,0
345,1,0,1,9,1,4,2,3,2,9,-1,1,0,1,1
346,2,1,0,2,0,4,0,1,1,2,0,0,1,1,1
347,2,1,0,7,1,2,8,2,3,7,0,1,0,0,1
348,1,0,1,9,1,1,0,1,2,9,0,1,1,1,1
349,2,1,0,7,0,2,1,1,1,7,0,0,1,0,1
350,0,0,0,6,1,2,9,1,1,6,0,1,1,1,0
351,2,1,0,6,0,1,2,1,3,6,0,0,1,1,1
352,2,1,0,7,0,2,8,1,1,7,0,0,1,0,1
353,2,1,0,10,1,2,8,1,2,10,0,1,1,0,1
354,3,1,1,12,0,4,2,5,4,12,-1,1,0,1,0
355,0,0,0,10,0,2,2,1,3,10,0,0,1,1,0
356,0,0,0,2,0,1,1,1,4,2,0,0,1,1,0
357,3,1,1,7,0,3,0,2,2,7,0,0,0,1,0
358,0,0,0,9,0,1,5,1,2,9,0,0,1,1,0
359,2,1,0,0,0,1,1,1,4,0,0,0,1,1,1
360,3,1,1,9,0,1,8,5,3,9,0,1,0,0,0
361,3,1,1,7,0,2,0,3,1,7,0,0,0,1,0
362,1,0,1,7,0,2,11,1,1,7,0,0,1,1,1
363,3,1,1,2,0,4,8,2,2,2,0,1,0,1,0
364,3,1,1,1,0,1,11,1,2,1,0,0,1,1,0
365,2,1,0,7,0,2,8,2,4,7,0,0,0,1,1
366,2,1,0,0,0,1,5,2,3,0,0,0,0,1,1
367,2,1,0,1,0,3,1,1,4,1,0,0,1,1,1
368,1,0,1,10,3,1,2,1,4,10,1,1,1,0,1
369,3,1,1,10,1,2,8,3,3,10,0,1,0,0,0
370,1,0,1,0,0,1,0,2,4,0,0,0,0,1,1
371,3,1,1,3,0,2,0,2,3,3,0,0,0,1,0
372,3,1,1,7,2,2,2,3,1,7,0,1,0,0,0
373,3,1,1,1,0,1,4,1,1,1,0,0,1,1,0
374,0,0,0,7,0,1,3,2,1,7,0,0,0,1,0
375,0,0,0,3,0,3,5,1,1,3,0,0,1,1,0
376,1,0,1,0,0,1,4,2,1,0,0,0,0,1,1
377,0,0,0,7,3,2,2,1,3,7,1,1,1,0,0
378,1,0,1,7,0,1,0,3,2,7,0,0,0,1,1
379,1,0,1,3,1,1,0,1,1,3,0,1,1,1,1
380,1,0,1,7,0,1,0,1,1,7,0,0,1,1,1
381,3,1,1,7,0,2,6,1,1,7,0,0,1,1,0
382,3,1,1,13,1,1,0,2,2,13,0,1,0,0,0
383,1,0,1,7,0,1,2,2,3,7,0,0,0,1,1
384,1,0,1,9,0,1,0,2,1,9,0,0,0,1,1
385,1,0,1,9,1,1,2,2,1,9,0,1,0,1,1
386,1,0,1,13,1,1,0,2,3,13,0,1,0,0,1
387,3,1,1,9,3,1,4,1,3,9,1,1,1,0,0
388,3,1,1,10,2,2,9,1,3,10,0,1,1,0,0
389,1,0,1,10,0,1,6,2,2,10,0,0,0,1,1
390,3,1,1,9,3,1,4,1,2,9,1,1,1,0,1
391,2,1,0,6,2,2,8,1,3,6,0,1,1,0,1
392,2,1,0,7,0,1,9,1,1,7,0,0,1,0,1
393,1,0,1,7,1,1,12,2,1,7,0,1,0,1,1
394,0,0,0,7,0,1,8,3,4,7,0,1,0,1,0
395,1,0,1,0,0,1,8,5,3,0,0,1,0,1,1
396,1,0,1,0,1,2,8,3,1,0,0,1,0,1,1
397,3,1,1,7,1,2,4,2,3,7,0,1,0,0,0
398,3,1,1,9,0,1,0,2,1,9,0,0,0,0,0
399,1,0,1,7,1,1,4,3,1,7,0,1,0,1,1
400,2,1,0,6,0,1,0,1,1,6,0,0,1,0,1
401,0,0,0,13,1,1,0,1,2,13,0,1,1,0,0
402,0,0,0,10,0,3,5,2,3,10,0,0,0,1,0
403,0,0,0,10,1,2,3,1,2,10,0,1,1,0,0
404,2,1,0,6,2,2,3,2,1,6,0,1,0,0,1
405,3,1,1,4,0,1,3,1,4,4,0,0,1,1,0
406,0,0,0,13,1,2,0,1,2,13,0,1,1,0,0
407,3,1,1,0,0,1,8,5,1,0,0,1,0,1,0
408,1,0,1,2,0,1,5,1,4,2,0,0,1,1,1
409,1,0,1,2,0,1,4,3,1,2,0,0,0,1,1
410,0,0,0,13,0,2,0,1,4,13,0,0,1,1,0
411,2,1,0,7,1,2,2,1,1,7,0,1,1,0,1
412,2,1,0,13,1,1,0,2,1,13,0,1,0,0,1
413,2,1,0,11,0,4,0,3,4,11,0,1,0,1,1
414,0,0,0,1,0,2,5,1,2,1,0,0,1,1,0
415,0,0,0,5,0,3,5,1,2,5,0,0,1,1,0
416,1,0,1,0,1,2,4,1,4,0,0,1,1,1,1
417,0,0,0,1,0,2,2,1,4,1,0,0,1,1,0
418,3,1,1,2,0,1,2,1,1,2,0,0,1,1,0
419,1,0,1,9,0,2,0,2,1,9,0,0,0,1,1
420,0,0,0,9,1,1,0,1,1,9,0,1,1,0,0
421,0,0,0,13,0,2,0,4,4,13,0,1,0,1,0
422,1,0,1,7,0,1,3,2,1,7,0,0,0,1,1
423,0,0,0,9,0,1,4,1,1,9,0,0,1,0,0
424,0,0,0,9,1,2,4,1,1,9,0,1,1,0,0
425,0,0,0,2,0,2,1,3,4,2,0,0,0,1,0
426,2,1,0,8,0,2,1,1,3,8,0,0,1,1,1
427,0,0,0,9,0,2,10,2,3,9,0,0,0,1,0
428,3,1,1,8,0,2,4,1,2,8,0,0,1,1,0
429,1,0,1,13,1,1,0,4,4,13,-1,1,0,1,1
430,0,0,0,7,0,1,4,2,4,7,0,0,0,1,0
431,0,0,0,7,1,3,4,1,2,7,0,1,1,1,0
432,3,1,1,7,0,1,6,3,3,7,0,0,0,0,0
433,1,0,1,0,0,1,4,3,3,0,0,0,0,1,1
